City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kodiak,40,US,1529977980,65,39.95,-94.76,78.8,10.29
1,pevek,48,RU,1529982064,96,69.7,170.27,34.28,8.75
2,tiksi,0,RU,1529982064,96,71.64,128.87,37.52,15.68
3,tasiilaq,76,GL,1529977800,93,65.61,-37.64,37.4,3.36
4,butaritari,20,KI,1529982065,100,3.07,172.79,82.97,7.74
5,hermanus,0,ZA,1529982065,90,-34.42,19.24,35.99,2.59
6,smiltene,0,LV,1529982065,87,57.42,25.9,49.13,3.6
7,kapaa,40,US,1529978160,66,22.08,-159.32,84.2,18.34
8,thompson,75,CA,1529978400,88,55.74,-97.86,69.8,4.7
9,urengoy,0,RU,1529982066,88,65.96,78.37,67.13,7.4
10,new norfolk,20,AU,1529978400,66,-42.78,147.06,53.6,9.17
11,nokha,8,IN,1529982067,87,27.56,73.47,84.14,9.98
12,rikitea,32,PF,1529982067,100,-23.12,-134.97,76.4,10.09
13,eskil,32,TR,1529982067,88,38.4,33.41,61.1,1.81
14,fornosovo,0,RU,1529980200,87,59.57,30.55,53.6,2.24
15,sao gabriel da cachoeira,56,BR,1529982052,95,-0.13,-67.09,72.44,2.37
16,airai,32,TL,1529982068,58,-8.93,125.41,79.28,2.71
17,vila velha,0,BR,1529978400,78,-3.71,-38.6,78.8,2.24
18,yongan,0,CN,1529982069,75,39.7,113.69,76.04,3.15
19,ariquemes,0,BR,1529982069,67,-9.91,-63.03,75.59,2.04
20,vaini,92,IN,1529982069,100,15.34,74.49,68.84,5.73
21,hilo,40,US,1529978160,65,19.71,-155.08,82.4,10.29
22,bubaque,92,GW,1529981516,100,11.28,-15.83,80.18,13.78
23,camacha,20,PT,1529980200,82,33.08,-16.33,64.4,3.36
24,mataura,88,NZ,1529982070,87,-46.19,168.86,44.45,12.88
25,lac du bonnet,92,CA,1529982071,73,50.25,-96.06,72.71,16.46
26,cape town,0,ZA,1529978400,93,-33.93,18.42,44.6,4.7
27,bredasdorp,0,ZA,1529978400,93,-34.53,20.04,48.2,5.82
28,kieta,44,PG,1529982071,98,-6.22,155.63,80.63,3.6
29,ushuaia,75,AR,1529978400,80,-54.81,-68.31,33.8,5.82
30,dingle,56,PH,1529982072,90,11.0,122.67,81.89,5.17
31,kysyl-syr,36,RU,1529982072,54,63.9,122.77,71.36,6.73
32,half moon bay,90,US,1529980800,82,37.46,-122.43,77.0,4.72
33,mabaruma,48,GY,1529982073,90,8.2,-59.78,78.2,5.06
34,albany,1,US,1529978040,45,42.65,-73.75,64.4,5.82
