City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chuy,100,UY,1529781345,100,-33.69,-53.46,54.71,10.42
1,cidreira,48,BR,1529781360,58,-30.17,-50.22,78.65,17.25
2,port hardy,90,CA,1529776800,77,50.7,-127.42,59.0,6.93
3,vaini,92,IN,1529781327,98,15.34,74.49,69.38,3.94
4,cockburn town,80,TC,1529782151,98,21.46,-71.14,81.8,21.5
5,atuona,76,PF,1529781360,100,-9.8,-139.03,80.09,17.81
6,vao,68,EE,1529781528,63,59.1,26.19,59.57,3.04
7,hermanus,44,ZA,1529781313,80,-34.42,19.24,56.06,11.21
8,grinnell,40,US,1529781300,60,41.74,-92.72,77.0,3.36
9,bluff,0,AU,1529781309,91,-23.58,149.07,50.21,3.04
10,adjumani,44,UG,1529782152,92,3.38,31.79,69.83,3.04
11,ushuaia,75,AR,1529780400,96,-54.81,-68.31,32.0,20.8
12,thompson,40,CA,1529776800,30,55.74,-97.86,69.8,10.29
13,upernavik,68,GL,1529781205,100,72.79,-56.15,31.31,8.63
14,hilo,90,US,1529776380,88,19.71,-155.08,73.4,3.36
15,karpathos,0,GR,1529779800,78,35.51,27.21,75.2,20.8
16,caravelas,36,BR,1529781415,100,-17.73,-39.27,76.31,9.75
17,wajir,44,KE,1529782153,59,1.75,40.07,79.28,12.77
18,kedougou,40,SN,1529776800,44,12.56,-12.19,98.6,2.24
19,mataura,88,NZ,1529781311,90,-46.19,168.86,41.75,7.74
20,kununurra,0,AU,1529778600,33,-15.77,128.74,66.2,8.05
21,nhulunbuy,40,AU,1529778600,83,-12.18,136.78,73.4,5.82
22,mar del plata,8,AR,1529781316,67,-46.43,-67.52,39.23,16.46
23,port blair,64,IN,1529782155,100,11.67,92.75,79.01,16.46
24,ambilobe,88,MG,1529782158,66,-13.19,49.05,73.88,6.96
25,sioux lookout,90,CA,1529779200,100,50.1,-91.92,66.2,4.83
26,tuktoyaktuk,75,CA,1529776800,93,69.44,-133.03,41.0,14.99
27,pangnirtung,90,CA,1529776800,80,66.15,-65.72,41.0,11.41
28,wakkanai,12,JP,1529782159,100,45.41,141.67,52.73,14.56
29,kralendijk,12,BQ,1529780100,59,12.15,-68.27,89.6,21.92
30,butaritari,80,KI,1529781327,100,3.07,172.79,83.33,4.72
31,jalu,0,LY,1529782160,26,29.03,21.55,92.69,4.16
32,faya,0,SA,1529780400,13,18.39,42.45,78.8,13.87
33,east london,0,ZA,1529776800,87,-33.02,27.91,59.0,10.29
34,half moon bay,1,US,1529780160,35,37.46,-122.43,95.0,13.87
35,mount gambier,88,AU,1529781393,87,-37.83,140.78,42.65,0.58
36,minab,0,IR,1529780400,79,27.15,57.07,89.6,6.93
37,bredasdorp,76,ZA,1529776800,59,-34.53,20.04,62.6,17.22
38,albany,90,US,1529779140,82,42.65,-73.75,60.8,3.36
39,hobart,75,AU,1529778600,57,-42.88,147.33,48.2,17.22
40,vila franca do campo,75,PT,1529780400,68,37.72,-25.43,69.8,11.41
41,punta arenas,90,CL,1529780400,100,-53.16,-70.91,33.8,18.34
42,quatre cocos,75,MU,1529776800,73,-20.21,57.76,71.6,6.93
43,adre,32,TD,1529781343,89,13.47,22.2,69.92,2.59
44,mahebourg,40,MU,1529780400,68,-20.41,57.7,71.6,8.05
45,victor harbor,20,AU,1529778600,93,-35.55,138.62,42.8,3.36
46,tocopilla,32,CL,1529782178,100,-22.09,-70.2,59.93,3.15
47,ilulissat,75,GL,1529779800,87,69.22,-51.1,37.4,10.29
